#=====================================================
# File created:        Thu-10-Oct-2024-at-05-21-17PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.065745
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -95.2430  0.3348 
   00001    0.7300    -149.2471  0.3870 
   00002    0.5900    -179.5425  0.3689 
   00003    0.5600    -206.1749  0.4484 
   00004    0.5300    -225.3437  0.4690 
   00005    0.4900    -242.5879  0.4872 
   00006    0.5500    -249.4420  0.4998 
   00007    0.4500    -254.1664  0.5518 
   00008    0.4300    -261.7645  0.5612 
   00009    0.5100    -265.5070  0.5791 
   00010    0.5600    -269.5635  0.5648 
   00011    0.5000    -268.3774  0.5496 
   00012    0.4400    -256.7202  0.5341 
   00013    0.5900    -267.0602  0.5772 
   00014    0.5200    -272.3657  0.5785 
   00015    0.4500    -287.2624  0.5992 
   00016    0.5000    -293.6191  0.6379 
   00017    0.5100    -289.0560  0.6466 
   00018    0.5000    -282.6057  0.6125 
   00019    0.5000    -277.7442  0.6214 
   00020    0.3800    -284.2361  0.6287 
   00021    0.4100    -288.6358  0.6565 
   00022    0.4800    -290.1018  0.6449 
   00023    0.4300    -292.3827  0.6246 
   00024    0.3500    -302.2886  0.6306 
   00025    0.4600    -314.0787  0.6584 
   00026    0.4600    -314.6282  0.6825 
   00027    0.4200    -308.1790  0.6762 
   00028    0.4300    -314.1046  0.7065 
   00029    0.4000    -314.1053  0.7161 
   00030    0.4600    -313.2732  0.7368 
   00031    0.4600    -323.9411  0.7384 
   00032    0.4200    -319.8374  0.7548 
   00033    0.4200    -322.1572  0.7577 
   00034    0.4400    -326.1095  0.7712 
   00035    0.4400    -330.0540  0.8031 
   00036    0.4200    -328.7067  0.8086 
   00037    0.4600    -334.0267  0.8135 
   00038    0.3600    -324.4237  0.8062 
   00039    0.3800    -320.0313  0.7685 
   00040    0.4200    -321.9732  0.7948 
   00041    0.4300    -327.6859  0.7702 
   00042    0.4200    -322.1873  0.7516 
   00043    0.4100    -330.3122  0.7631 
   00044    0.4700    -327.3921  0.7596 
   00045    0.4600    -323.2649  0.7508 
   00046    0.3800    -328.0872  0.7335 
   00047    0.4100    -322.5653  0.7231 
   00048    0.4400    -328.4449  0.7262 
   00049    0.3800    -331.1500  0.7247 
   00050    0.4500    -311.8339  0.6983 
