#=====================================================
# File created:        Thu-10-Oct-2024-at-05-18-36PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.003772
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10085.7639  0.2534 
   00001    0.6470  -13107.7588  0.2569 
   00002    0.5920  -15244.0746  0.2587 
   00003    0.5605  -16901.3970  0.2568 
   00004    0.5345  -18218.6322  0.2530 
   00005    0.4970  -19022.7271  0.2551 
   00006    0.4838  -19732.1414  0.2539 
   00007    0.4648  -20294.2598  0.2552 
   00008    0.4562  -20880.4977  0.2583 
   00009    0.4368  -21305.8187  0.2559 
   00010    0.4291  -21629.0594  0.2543 
   00011    0.4414  -22044.9812  0.2599 
   00012    0.4255  -22436.8680  0.2623 
   00013    0.4128  -22728.8185  0.2645 
   00014    0.4087  -22905.6287  0.2655 
   00015    0.4041  -23046.2720  0.2670 
   00016    0.4083  -23287.6555  0.2625 
   00017    0.4064  -23551.3590  0.2628 
   00018    0.4034  -23706.7082  0.2621 
   00019    0.3928  -23881.1102  0.2617 
   00020    0.3840  -24027.2001  0.2570 
   00021    0.3788  -24093.4399  0.2586 
   00022    0.3854  -24216.1341  0.2543 
   00023    0.3748  -24276.7636  0.2556 
   00024    0.3862  -24305.6094  0.2564 
   00025    0.3982  -24505.0311  0.2585 
   00026    0.3801  -24560.9763  0.2584 
   00027    0.3930  -24592.6116  0.2614 
   00028    0.3791  -24722.1704  0.2658 
   00029    0.3825  -24864.5028  0.2619 
   00030    0.3802  -25011.0553  0.2606 
   00031    0.3791  -24948.1457  0.2593 
   00032    0.3625  -24980.8110  0.2568 
   00033    0.3842  -25172.0596  0.2554 
   00034    0.3830  -25268.5805  0.2584 
   00035    0.3600  -25119.2797  0.2603 
   00036    0.3799  -25233.6438  0.2604 
   00037    0.3687  -25221.0481  0.2597 
   00038    0.3579  -25347.3119  0.2638 
   00039    0.3580  -25390.4586  0.2664 
   00040    0.3752  -25428.5949  0.2673 
   00041    0.3617  -25506.5168  0.2668 
   00042    0.3550  -25402.6476  0.2670 
   00043    0.3659  -25348.1337  0.2635 
   00044    0.3643  -25334.6311  0.2645 
   00045    0.3622  -25499.3901  0.2669 
   00046    0.3627  -25539.2854  0.2675 
   00047    0.3744  -25483.7706  0.2676 
   00048    0.3667  -25531.0902  0.2704 
   00049    0.3468  -25627.6977  0.2698 
   00050    0.3565  -25769.8219  0.2723 
