LebwohlLasher_np.py: Size: 100, Steps: 50, T*: 0.500: Order: 0.304, Time: 4.814083 s
         8015645 function calls in 4.823 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1000000    2.814    0.000    4.445    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:98(one_energy)
  1000252    0.537    0.000    0.537    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1000201    0.407    0.000    1.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
       50    0.327    0.007    4.786    0.096 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:111(MC_step)
  1000101    0.309    0.000    1.364    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2177(sum)
  1000102    0.233    0.000    0.233    0.000 {built-in method numpy.array}
  1000405    0.063    0.000    0.063    0.000 {method 'items' of 'dict' objects}
  1000103    0.048    0.000    0.048    0.000 {built-in method builtins.isinstance}
  1000101    0.037    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
       51    0.016    0.000    0.019    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:69(all_energy)
       51    0.007    0.000    0.011    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:87(get_order)
       50    0.006    0.000    0.006    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        1    0.005    0.005    0.006    0.006 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/lib/function_base.py:2443(_vectorize_call)
      100    0.004    0.000    0.005    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       51    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
       50    0.002    0.000    0.002    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    10001    0.001    0.000    0.001    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:66(<lambda>)
      204    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/numeric.py:1129(roll)
        1    0.001    0.001    4.823    4.823 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/1-numpy-vect_impl/LebwohlLasher_np.py:21(main)
      206    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
