#=====================================================
# File created:        Thu-10-Oct-2024-at-05-13-02PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.312517
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -97.6530  0.3734 
   00001    0.5800    -130.1722  0.3562 
   00002    0.4300    -146.0795  0.3190 
   00003    0.5300    -159.2990  0.3208 
   00004    0.6100    -177.0887  0.2792 
   00005    0.4300    -170.4947  0.3013 
   00006    0.4800    -182.7020  0.3138 
   00007    0.4600    -188.0756  0.3513 
   00008    0.4200    -204.1528  0.3815 
   00009    0.5800    -193.2768  0.2874 
   00010    0.4000    -183.5002  0.3629 
   00011    0.4700    -196.2488  0.3819 
   00012    0.5400    -196.5714  0.3777 
   00013    0.5100    -201.0815  0.4521 
   00014    0.3500    -207.9332  0.4617 
   00015    0.4500    -210.9456  0.4720 
   00016    0.5400    -229.3489  0.4702 
   00017    0.4100    -224.0018  0.4671 
   00018    0.3500    -210.0766  0.4971 
   00019    0.4100    -207.9913  0.4814 
   00020    0.4600    -218.9216  0.4792 
   00021    0.3500    -212.3257  0.5062 
   00022    0.4500    -226.9900  0.5127 
   00023    0.4100    -227.3930  0.4665 
   00024    0.3000    -228.6243  0.4600 
   00025    0.3200    -223.2579  0.4026 
   00026    0.3900    -233.2723  0.4600 
   00027    0.5300    -245.7157  0.4187 
   00028    0.4300    -243.1135  0.3847 
   00029    0.3600    -246.1135  0.3687 
   00030    0.4500    -250.9573  0.3890 
   00031    0.2800    -250.8521  0.4150 
   00032    0.3700    -251.6429  0.4115 
   00033    0.2500    -248.9254  0.3944 
   00034    0.4300    -251.2315  0.4004 
   00035    0.3500    -244.7717  0.4015 
   00036    0.3900    -254.4597  0.4254 
   00037    0.3300    -250.6695  0.4532 
   00038    0.2800    -233.8260  0.4763 
   00039    0.3400    -251.5031  0.4972 
   00040    0.4300    -245.6482  0.4894 
   00041    0.3900    -250.7943  0.4736 
   00042    0.3800    -247.2781  0.4555 
   00043    0.3500    -246.4929  0.4341 
   00044    0.1800    -236.9882  0.4199 
   00045    0.3900    -237.6050  0.4457 
   00046    0.3600    -244.9989  0.4488 
   00047    0.4400    -239.6382  0.4295 
   00048    0.4600    -251.7992  0.4625 
   00049    0.2700    -259.1202  0.4590 
   00050    0.4200    -268.4504  0.4796 
