LebwohlLasher_nb.py: Size: 100, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.420271 s
         2947995 function calls (2834084 primitive calls) in 1.423 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.436    0.009    1.391    0.028 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/2-numba_impl/LebwohlLasher_nb.py:117(MC_step)
  1000000    0.382    0.000    0.382    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/2-numba_impl/LebwohlLasher_nb.py:102(one_energy)
     2675    0.062    0.000    0.076    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/binding/ffi.py:190(__call__)
55687/9801    0.023    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:318(_rec_list_vars)
   327424    0.019    0.000    0.026    0.000 {built-in method builtins.isinstance}
       51    0.016    0.000    0.019    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/2-numba_impl/LebwohlLasher_nb.py:71(all_energy)
       24    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
       26    0.013    0.001    0.013    0.001 <frozen abc>:110(register)
      210    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
22740/11443    0.009    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:554(_safe_repr)
69282/69190    0.008    0.000    0.012    0.000 {built-in method builtins.getattr}
5120/5081    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x103638a48}
       51    0.007    0.000    0.011    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/2-numba_impl/LebwohlLasher_nb.py:90(get_order)
       50    0.006    0.000    0.006    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
22740/11443    0.006    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:466(format)
     2983    0.006    0.000    0.014    0.000 {built-in method builtins.sorted}
18737/9832    0.005    0.000    0.016    0.000 {method 'format' of 'str' objects}
      210    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
    10540    0.005    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:102(_safe_tuple)
      100    0.004    0.000    0.005    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
 6034/260    0.004    0.000    0.049    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:171(_format)
       95    0.004    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:23(compute_use_defs)
28578/28080    0.004    0.000    0.020    0.000 {built-in method builtins.next}
    34591    0.004    0.000    0.006    0.000 {method 'get' of 'dict' objects}
63007/61810    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    18869    0.003    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/utils.py:515(stream_list)
9936/6056    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
      251    0.003    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:380(_format_dict_items)
    43351    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
