#=====================================================
# File created:        Thu-10-Oct-2024-at-05-14-36PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.615257
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -85.0971  0.3395 
   00001    0.5300    -119.9441  0.3290 
   00002    0.5300    -129.8156  0.3296 
   00003    0.5600    -147.5889  0.3574 
   00004    0.6400    -166.5251  0.3541 
   00005    0.6400    -188.2837  0.3465 
   00006    0.4800    -179.8093  0.3242 
   00007    0.5000    -169.3782  0.3107 
   00008    0.5700    -191.2708  0.3772 
   00009    0.5400    -187.1410  0.4028 
   00010    0.5800    -191.9743  0.4149 
   00011    0.5400    -182.5341  0.3423 
   00012    0.6300    -185.7705  0.3197 
   00013    0.5000    -184.4702  0.3078 
   00014    0.6100    -180.9569  0.2852 
   00015    0.4900    -194.9161  0.3289 
   00016    0.6400    -202.8069  0.3009 
   00017    0.5800    -196.3931  0.3423 
   00018    0.5600    -201.9957  0.3315 
   00019    0.6400    -204.3637  0.3307 
   00020    0.5100    -196.4741  0.3789 
   00021    0.4600    -184.8856  0.3594 
   00022    0.5100    -209.0354  0.3971 
   00023    0.5000    -199.4380  0.3869 
   00024    0.5700    -201.1170  0.3658 
   00025    0.6000    -199.5514  0.3707 
   00026    0.4300    -197.8790  0.3472 
   00027    0.4300    -175.5585  0.3192 
   00028    0.5300    -193.4497  0.3233 
   00029    0.5400    -195.9679  0.2634 
   00030    0.4900    -206.7368  0.2655 
   00031    0.4300    -198.6062  0.2603 
   00032    0.5500    -201.0607  0.3463 
   00033    0.4500    -219.7103  0.3729 
   00034    0.5000    -220.0012  0.4422 
   00035    0.4700    -222.9800  0.4772 
   00036    0.5400    -215.6170  0.5191 
   00037    0.5200    -210.1186  0.5130 
   00038    0.5300    -198.4063  0.4580 
   00039    0.4600    -199.3836  0.4167 
   00040    0.5000    -199.4923  0.4478 
   00041    0.5000    -224.6326  0.4150 
   00042    0.4600    -230.7845  0.4092 
   00043    0.4300    -198.3774  0.4260 
   00044    0.4900    -197.3945  0.4524 
   00045    0.5200    -190.8744  0.4491 
   00046    0.5300    -181.0581  0.4830 
   00047    0.6600    -191.1196  0.4933 
   00048    0.5400    -171.0429  0.4910 
   00049    0.6000    -185.6784  0.4715 
   00050    0.4700    -203.5428  0.5007 
