LebwohlLasher_nb_parallel.py: Size: 100, Steps: 50, T*: 0.500: Order: 0.268, Time: 2.868942 s
         9568293 function calls (8906689 primitive calls) in 2.869 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24142    0.720    0.000    0.863    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/binding/ffi.py:190(__call__)
277229/46779    0.111    0.000    0.173    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:318(_rec_list_vars)
  1815917    0.103    0.000    0.123    0.000 {built-in method builtins.isinstance}
       50    0.057    0.001    0.057    0.001 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/3-numba-parallel_impl/LebwohlLasher_nb_parallel.py:117(MC_step)
151476/75884    0.041    0.000    0.137    0.000 {method 'format' of 'str' objects}
14019/577    0.035    0.000    0.057    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:1563(build_definitions)
    23448    0.034    0.000    0.076    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/instructions.py:13(__init__)
95746/48290    0.034    0.000    0.092    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:554(_safe_repr)
69412/1316    0.032    0.000    0.072    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
    86622    0.025    0.000    0.056    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:243(notify)
   313730    0.024    0.000    0.031    0.000 {method 'get' of 'dict' objects}
    13998    0.024    0.000    0.049    0.000 {built-in method builtins.sorted}
211424/211115    0.021    0.000    0.035    0.000 {built-in method builtins.getattr}
   291240    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
 1017/706    0.020    0.000    0.147    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:23(compute_use_defs)
    53714    0.018    0.000    0.077    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:209(broadcast)
84952/35496    0.018    0.000    0.127    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:44(__str__)
    24245    0.018    0.000    0.111    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:544(_to_string)
       27    0.017    0.001    0.019    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/removerefctpass.py:23(_rewrite_function)
62988/62728    0.017    0.000    0.034    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:54(get_reference)
     1062    0.016    0.000    0.090    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:380(_format_dict_items)
   219266    0.016    0.000    0.016    0.000 {method 'extend' of 'list' objects}
       51    0.015    0.000    0.019    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/3-numba-parallel_impl/LebwohlLasher_nb_parallel.py:71(all_energy)
       26    0.015    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
      214    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
95746/48290    0.014    0.000    0.099    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:466(format)
   123176    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
25258/1099    0.014    0.000    0.180    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:171(_format)
    26857    0.013    0.000    0.069    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:404(end_event)
    26857    0.013    0.000    0.057    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:390(start_event)
       26    0.013    0.000    0.013    0.001 <frozen abc>:110(register)
    45292    0.013    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:102(_safe_tuple)
    48290    0.012    0.000    0.115    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:457(_repr)
196719/192153    0.012    0.000    0.012    0.000 {built-in method builtins.len}
76119/72067    0.012    0.000    0.078    0.000 {built-in method builtins.next}
    30882    0.011    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
55863/55357    0.011    0.000    0.031    0.000 {method 'join' of 'str' objects}
    31299    0.010    0.000    0.051    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:537(__init__)
   122389    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
  1014/30    0.010    0.000    2.619    0.087 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/compiler_machinery.py:268(_runPass)
    79388    0.010    0.000    0.012    0.000 {built-in method _abc._abc_instancecheck}
    47170    0.010    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/targetconfig.py:111(getter)
36550/27091    0.010    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/abstract.py:121(__hash__)
96505/94477    0.009    0.000    0.023    0.000 {built-in method builtins.repr}
    32044    0.009    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:16(register)
    53714    0.009    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:100(__init__)
    43311    0.009    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:270(on_end)
12150/12111    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x105b5ca48}
38297/37176    0.009    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/abstract.py:124(__eq__)
22414/22076    0.008    0.000    0.125    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    79388    0.008    0.000    0.020    0.000 <frozen abc>:117(__instancecheck__)
    54102    0.008    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:66(_guard_kind)
22705/10948    0.008    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:457(visit_vars_inner)
    94251    0.008    0.000    0.008    0.000 {method 'values' of 'dict' objects}
   143447    0.007    0.000    0.007    0.000 {built-in method builtins.id}
    37810    0.007    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/utils.py:515(stream_list)
    32044    0.007    0.000    0.040    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:557(_set_name)
    41161    0.007    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:384(__getattr__)
    96257    0.007    0.000    0.007    0.000 {method 'write' of '_io.StringIO' objects}
     2409    0.007    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:235(compute_cfg_from_blocks)
    24142    0.007    0.000    0.065    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/binding/ffi.py:72(__enter__)
    24142    0.007    0.000    0.076    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/binding/ffi.py:78(__exit__)
       51    0.006    0.000    0.010    0.000 /Users/bryndrury/Library/Mobile Documents/com~apple~CloudDocs/Desktop/the one folder to rule the all./Bristol/Year4/1 - University/4 - Special Core in Software Engineering and High Performance Computing/Assessments/MiniProject-1/3-numba-parallel_impl/LebwohlLasher_nb_parallel.py:90(get_order)
    23142    0.006    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:564(_get_reference)
     1256    0.006    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:81(def_reach)
    36413    0.006    0.000    0.148    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:351(list_vars)
  806/629    0.006    0.000    0.863    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/functions.py:281(get_call_type)
   138305    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:95(__lt__)
    43311    0.006    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:265(on_start)
    86622    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:138(is_start)
63122/62921    0.006    0.000    0.013    0.000 {built-in method builtins.hasattr}
    86446    0.006    0.000    0.006    0.000 {built-in method time.perf_counter}
    12038    0.005    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/weakref.py:414(__getitem__)
1059/1057    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
5310/3096    0.005    0.000    0.042    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typing/context.py:428(install_registry)
    65211    0.005    0.000    0.010    0.000 {built-in method builtins.issubclass}
1511/1316    0.005    0.000    0.070    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:217(_deepcopy_dict)
      364    0.005    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:118(compute_dead_maps)
    42078    0.005    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typing/templates.py:1314(new_registrations)
    24142    0.005    0.000    0.067    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/base.py:1249(exit_fn)
    15543    0.005    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:104(__init__)
4831/1977    0.005    0.000    0.034    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/runtime/context.py:343(get_meminfos)
    27133    0.005    0.000    0.086    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:608(list_vars)
    24142    0.005    0.000    0.056    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/base.py:1246(enter_fn)
  128/118    0.005    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/postproc.py:179(_patch_var_dels)
    59136    0.005    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:13(is_used)
  373/212    0.005    0.000    0.061    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:823(find_potential_aliases)
     2464    0.005    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/utils.py:346(order_by_target_specificity)
      214    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
    10123    0.005    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/controlflow.py:383(_dfs)
    23448    0.005    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/builder.py:351(_insert)
      987    0.005    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:91(liveness)
17527/13002    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
    52573    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     4376    0.004    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/base.py:352(install_registry)
42828/33197    0.004    0.000    0.007    0.000 {built-in method builtins.hash}
    37810    0.004    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/utils.py:524(sublist_iterator)
      558    0.004    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/np/numpy_support.py:357(ufunc_find_matching_loop)
    90584    0.004    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:92(__init__)
     1944    0.004    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/targetconfig.py:196(values)
     1408    0.004    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/controlflow.py:579(_find_back_edges)
  443/199    0.004    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:996(get_block_copies)
15539/13513    0.004    0.000    0.046    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:132(__enter__)
10338/10290    0.004    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:445(__init__)
    47468    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     5296    0.004    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/instructions.py:681(descr)
     5870    0.004    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/np/numpy_support.py:339(ufunc_can_cast)
     5296    0.004    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/builder.py:967(extract_value)
    15543    0.004    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:299(helper)
  316/127    0.004    0.000    0.064    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:632(remove_dead_block)
     1285    0.004    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/instructions.py:68(__init__)
  299/159    0.004    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir_utils.py:1196(get_call_table)
1942/1302    0.004    0.000    0.570    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/lowering.py:442(lower_inst)
