#=====================================================
# File created:        Thu-10-Oct-2024-at-11-48-41PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.692842
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10222.8397  0.2552 
   00001    0.6881  -14928.2493  0.2611 
   00002    0.6207  -17907.3411  0.2551 
   00003    0.5888  -20179.6629  0.2613 
   00004    0.5586  -22102.3599  0.2621 
   00005    0.5273  -23372.3934  0.2650 
   00006    0.5286  -24596.5254  0.2726 
   00007    0.4956  -25465.6486  0.2694 
   00008    0.5039  -26246.7392  0.2687 
   00009    0.4859  -26897.5861  0.2713 
   00010    0.4857  -27398.1518  0.2685 
   00011    0.4708  -27897.2788  0.2747 
   00012    0.4696  -28344.4675  0.2789 
   00013    0.4718  -28776.7003  0.2775 
   00014    0.4592  -29198.5050  0.2807 
   00015    0.4652  -29460.7565  0.2814 
   00016    0.4587  -29754.9165  0.2808 
   00017    0.4462  -29945.2235  0.2838 
   00018    0.4459  -30117.3090  0.2857 
   00019    0.4566  -30364.7819  0.2864 
   00020    0.4567  -30493.4938  0.2885 
   00021    0.4440  -30597.1108  0.2881 
   00022    0.4466  -30808.6104  0.2900 
   00023    0.4379  -30932.7332  0.2961 
   00024    0.4401  -31094.6242  0.2966 
   00025    0.4433  -31260.8510  0.2969 
   00026    0.4347  -31342.8592  0.3022 
   00027    0.4341  -31429.7067  0.3029 
   00028    0.4355  -31515.9833  0.3013 
   00029    0.4451  -31545.0963  0.3014 
   00030    0.4343  -31644.9498  0.3027 
   00031    0.4466  -31695.6606  0.2993 
   00032    0.4260  -31706.8648  0.2990 
   00033    0.4323  -31739.8405  0.2996 
   00034    0.4242  -31838.3425  0.2985 
   00035    0.4292  -31851.0866  0.3010 
   00036    0.4250  -31804.8998  0.3027 
   00037    0.4347  -31924.9729  0.3049 
   00038    0.4345  -31949.8837  0.3040 
   00039    0.4264  -31949.0515  0.3016 
   00040    0.4241  -32045.7765  0.3030 
   00041    0.4363  -32122.4003  0.3004 
   00042    0.4225  -32126.2829  0.2977 
   00043    0.4402  -32148.9261  0.2971 
   00044    0.4195  -32135.7083  0.2995 
   00045    0.4305  -32219.1949  0.2977 
   00046    0.4349  -32225.8223  0.2963 
   00047    0.4226  -32211.2902  0.2973 
   00048    0.4328  -32316.5392  0.3017 
   00049    0.4254  -32360.7182  0.3017 
   00050    0.4206  -32430.9988  0.3038 
