#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-33PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.070768
# Number of threads:   6
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9518.9213  0.0858 
   00001    0.6917  -14603.0476  0.0965 
   00002    0.6301  -18076.3003  0.0651 
   00003    0.5773  -20184.1924  0.1322 
   00004    0.5551  -21882.7023  0.0690 
   00005    0.5472  -23052.4056  0.1139 
   00006    0.5263  -24313.9316  0.1787 
   00007    0.5091  -25300.0491  0.1879 
   00008    0.5006  -26137.1294  0.1852 
   00009    0.4902  -26735.7478  0.1560 
   00010    0.4751  -27414.1238  0.1823 
   00011    0.4750  -27938.5335  0.1477 
   00012    0.4638  -28394.1589  0.1673 
   00013    0.4710  -28783.2555  0.1658 
   00014    0.4545  -29079.5130  0.1681 
   00015    0.4584  -29340.6037  0.1491 
   00016    0.4538  -29460.6885  0.1885 
   00017    0.4583  -29767.8142  0.1422 
   00018    0.4641  -30037.3111  0.0630 
   00019    0.4404  -30242.5272  0.1822 
   00020    0.4498  -30349.6947  0.1599 
   00021    0.4632  -30429.7960  0.1442 
   00022    0.4423  -30707.6337  0.1346 
   00023    0.4269  -30878.7847  0.1764 
   00024    0.4363  -30943.1881  0.1813 
   00025    0.4422  -30968.2929  0.2122 
   00026    0.4393  -31062.3780  0.1894 
   00027    0.4370  -31189.5914  0.1715 
   00028    0.4328  -31296.7064  0.2001 
   00029    0.4331  -31291.2971  0.1933 
   00030    0.4341  -31488.4444  0.1644 
   00031    0.4299  -31528.8006  0.1806 
   00032    0.4332  -31492.8420  0.1535 
   00033    0.4399  -31522.4328  0.1932 
   00034    0.4403  -31636.1316  0.1573 
   00035    0.4321  -31689.9536  0.1954 
   00036    0.4386  -31735.4743  0.1856 
   00037    0.4299  -31749.4050  0.1905 
   00038    0.4266  -31875.3533  0.1616 
   00039    0.4327  -31890.5433  0.1833 
   00040    0.4393  -31909.4096  0.2408 
   00041    0.4336  -31920.7426  0.2019 
   00042    0.4362  -31998.9678  0.2892 
   00043    0.4262  -32016.3254  0.2342 
   00044    0.4270  -32157.5391  0.2598 
   00045    0.4249  -32229.8166  0.2579 
   00046    0.4333  -32097.6854  0.2086 
   00047    0.4170  -32167.2643  0.2001 
   00048    0.4302  -32198.5874  0.1951 
   00049    0.4344  -32221.0037  0.2101 
   00050    0.4279  -32188.6488  0.2055 
