#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-14PM
# Size of lattice:     1x1
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   1
# Run time (s):        0.001867
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  2.3119 
   00001    1.0000      -4.0000  2.1533 
   00002    1.0000      -4.0000  1.3737 
   00003    1.0000      -4.0000  1.1333 
   00004    1.0000      -4.0000  1.3594 
   00005    1.0000      -4.0000  1.3227 
   00006    1.0000      -4.0000  1.0215 
   00007    1.0000      -4.0000  1.0002 
   00008    1.0000      -4.0000  1.0000 
   00009    1.0000      -4.0000  1.2639 
   00010    1.0000      -4.0000  1.0677 
   00011    1.0000      -4.0000  1.0055 
   00012    1.0000      -4.0000  1.0222 
   00013    1.0000      -4.0000  1.3750 
   00014    1.0000      -4.0000  1.1397 
   00015    1.0000      -4.0000  1.1044 
   00016    1.0000      -4.0000  1.9921 
   00017    1.0000      -4.0000  2.2754 
   00018    1.0000      -4.0000  2.2365 
   00019    1.0000      -4.0000  2.0742 
   00020    1.0000      -4.0000  2.4222 
   00021    1.0000      -4.0000  1.0000 
   00022    1.0000      -4.0000  1.1654 
   00023    1.0000      -4.0000  1.5701 
   00024    1.0000      -4.0000  2.3127 
   00025    1.0000      -4.0000  2.0935 
   00026    1.0000      -4.0000  2.4901 
   00027    1.0000      -4.0000  1.0221 
   00028    1.0000      -4.0000  1.0157 
   00029    1.0000      -4.0000  1.1536 
   00030    1.0000      -4.0000  2.4869 
   00031    1.0000      -4.0000  2.4761 
   00032    1.0000      -4.0000  1.6056 
   00033    1.0000      -4.0000  1.0634 
   00034    1.0000      -4.0000  1.0942 
   00035    1.0000      -4.0000  1.4996 
   00036    1.0000      -4.0000  2.1808 
   00037    1.0000      -4.0000  2.4751 
   00038    1.0000      -4.0000  1.5091 
   00039    1.0000      -4.0000  2.3366 
   00040    1.0000      -4.0000  2.1130 
   00041    1.0000      -4.0000  2.3226 
   00042    1.0000      -4.0000  2.3976 
   00043    1.0000      -4.0000  2.4963 
   00044    1.0000      -4.0000  1.3623 
   00045    1.0000      -4.0000  1.0904 
   00046    1.0000      -4.0000  1.0203 
   00047    1.0000      -4.0000  1.3476 
   00048    1.0000      -4.0000  1.6765 
   00049    1.0000      -4.0000  2.2211 
   00050    1.0000      -4.0000  1.1310 
